feature,mi,lead,selected
lead_2_III_temp_num_peaks,0.03297229833665769,lead2,False
lead_3_AVR_tf_wavelet_energy,0.032574387207399844,lead3,False
lead_2_III_temp_beat_to_beat_var,0.03250817493904212,lead2,False
lead_1_II_stat_std,0.03249637852058709,lead1,False
lead_9_V4_spec_spectral_centroid,0.03248521098276351,lead9,False
lead_10_V5_stat_mad,0.032442272109416546,lead10,False
lead_2_III_spec_spectral_rolloff,0.032435912100330144,lead2,False
lead_3_AVR_tf_tf_energy,0.03243179275452701,lead3,False
lead_8_V3_temp_zero_crossing_rate,0.03236513747928562,lead8,False
lead_1_II_stat_rms,0.03228490112823117,lead1,False
lead_7_V2_stat_signal_power,0.032190902622743024,lead7,False
lead_10_V5_tf_inst_freq_std,0.031988280729560836,lead10,False
lead_9_V4_tf_tf_energy,0.03186972158603178,lead9,False
lead_9_V4_tf_wavelet_entropy,0.03183529382745052,lead9,False
lead_1_II_tf_spectrogram_std,0.03167573684875533,lead1,False
lead_7_V2_tf_spectrogram_mean,0.031612924074251356,lead7,False
lead_7_V2_stat_variance,0.0315071419389823,lead7,False
lead_7_V2_stat_energy,0.0315071419389823,lead7,False
lead_4_AVL_morph_area_p_mean,0.031504181220218454,lead4,False
lead_3_AVR_morph_p_duration_mean,0.03146413888726949,lead3,False
lead_6_V1_temp_pnn50,0.031390153012157015,lead6,False
lead_10_V5_morph_qrs_duration_mean,0.03124694360669831,lead10,False
lead_1_II_stat_signal_power,0.031102611303948802,lead1,False
lead_8_V3_tf_spectrogram_mean,0.031076921763517305,lead8,False
lead_6_V1_spec_spectral_skewness,0.03106980038877425,lead6,False
lead_7_V2_stat_median,0.03105019790457262,lead7,False
lead_7_V2_stat_rms,0.030759146639262804,lead7,False
lead_10_V5_morph_s_amp_mean,0.0306815418642044,lead10,False
lead_8_V3_morph_qt_interval_mean,0.03063008567640597,lead8,False
lead_7_V2_stat_std,0.030624466504582726,lead7,False
lead_8_V3_spec_spectral_centroid,0.030566946461215626,lead8,False
lead_6_V1_stat_skewness,0.030477576737219403,lead6,False
lead_2_III_morph_s_amp_mean,0.03022142953458955,lead2,False
lead_10_V5_spec_spectral_flux,0.030155143312057174,lead10,False
lead_0_I_morph_qt_interval_mean,0.03000265183100619,lead0,False
lead_0_I_stat_peak_to_peak,0.02999170875453081,lead0,False
lead_1_II_stat_iqr,0.029917046541586733,lead1,False
lead_11_V6_tf_tf_energy,0.02988211557324174,lead11,False
lead_2_III_spec_spectral_skewness,0.02985150127842635,lead2,False
lead_1_II_stat_energy,0.02962509100289914,lead1,False
lead_11_V6_nonlin_dfa_alpha,0.029536646788859942,lead11,False
lead_2_III_spec_spectral_bandwidth,0.02947039176392876,lead2,False
lead_5_AVF_stat_mad,0.029451334774134263,lead5,False
lead_5_AVF_morph_st_segment_mean,0.02929940244262972,lead5,False
lead_1_II_stat_variance,0.029206925609123947,lead1,False
lead_2_III_stat_iqr,0.029102799122958833,lead2,False
lead_7_V2_tf_inst_freq_mean,0.02906661750831545,lead7,False
lead_3_AVR_spec_spectral_kurtosis,0.028948217666360555,lead3,False
lead_0_I_morph_q_amp_mean,0.028828170424710687,lead0,False
lead_5_AVF_morph_qrs_amp_mean,0.028671406806305734,lead5,False
